Number,Full Name,Google Scholar,Scopus,Subject
85,Андрієвський Сергій Михайлович,29,24,фізика та математика - Astronomy & Astrophysics
86,Богданова Тетяна Іванівна,29,29,медицина - Endocrinology
87,Браун Олег Михайлович,29,24,фізика та математика - Nonlinear Science
88,Грішнова Олена Антонівна,29,1,економіка - Human Resources & Organizations
89,Іванов Володимир Миколайович,29,19,науки про життя - Biotechnology
90,Калюжний Юрій Володимирович,29,25,фізика та математика - Physics & Mathematics
91,Кондратьєв Юрій Григорович,29,18,фізика та математика - Mathematical Analysis
92,Федосов Віктор Михайлович,29,-,економіка - Finance
93,Андрущенко Віктор Петрович,28,-,педагогіка - Educational Administration
94,Березанський Юрій Макарович,28,8,фізика та математика - Mathematical Analysis
95,Биков Валерій Юхимович,28,7,інформатика - Educational Technology
96,Бондар Михайло Віталійович,28,25,фізика та математика - Optics & Photonics
97,Глушков Олександр Васильович,28,16,фізика та математика - Nonlinear Science
98,Горбар Едуард Володимирович,28,20,фізика та математика - Quantum Mechanics
99,Єрмаков Сергій Сидорович,28,11,педагогіка - Physical Education & Sports Medicine
100,Зарко Володимир Ілліч,28,24,хімія - Nanotechnology
101,Зязюн Іван Андрійович,28,-,педагогіка - Education
102,Іващенко Ольга Віталіївна,28,4,педагогіка - Physical Education & Sports Medicine
103,Кадащук Андрій Костянтинович,28,21,фізика та математика - Condensed Matter Physics & Semiconductors
104,Ковтюх Валерій Володимирович,28,23,фізика та математика - Astronomy & Astrophysics
105,Колот Анатолій Михайлович,28,-,економіка - Human Resources & Organizations
106,Маламуд Марк Михайлович,28,15,фізика та математика - Mathematical Physics
107,Непійко Сергій Олексійович,28,24,фізика та математика - Nanotechnology
108,Пономаренко Микола Миколайович,28,14,інформатика - Signal Processing
109,Сергієнко Іван Васильович,28,7,фізика та математика - Computational Mathematics
110,Челноков Володимир Олексійович,28,9,фізика та математика - High Energy & Nuclear Physics
111,Бекшаєв Олександр Янович,27,20,фізика та математика - Optics & Photonics
112,Бельська Ірина Миколаївна,27,22,фізика та математика - Astronomy & Astrophysics
113,Головко Мирослав Федорович,27,22,фізика та математика - Physics & Mathematics
114,Жолос Олександр Вікторович,27,23,науки про життя - Biophysics
115,Зав’ялов Володимир Петрович,27,22,науки про життя - Molecular Biology
116,Ілляшенко Сергій Миколайович,27,1,економіка - Management
117,Кизим Микола Олександрович,27,-,економіка - Business & Economics & Management
118,Перерва Петро Григорович,27,-,економіка - Marketing
119,Русанов Едуард Борисович,27,27,хімія - Organic Chemistry
120,Рябченко Володимир Іванович,27,-,суспільні науки - Human Resources & Organizations
121,Фещенко Юрій Іванович,27,3,медицина - Pulmonology
122,Хижун Олег Юліанович,27,22,фізика та математика - Nanotechnology
123,Чумак Вадим Віталійович,27,21,медицина - Nuclear Medicine| Radiotherapy & Molecular Imaging
